provider_id,provider_name,specialty,facility_name,city,state,zip_code,network_status,effective_date,termination_date
P1001,Dr. John Anderson,Family Medicine,Anderson Medical Center,New York,NY,10001,IN_NETWORK,2020-01-01,
P1002,Dr. Mary Thompson,Internal Medicine,Thompson Clinic,Los Angeles,CA,90210,IN_NETWORK,2019-06-15,
P1003,Dr. Robert Davis,Cardiology,Davis Heart Institute,Chicago,IL,60601,IN_NETWORK,2018-03-20,
P1004,Dr. Patricia Miller,Pediatrics,Miller Children's Clinic,Houston,TX,77001,IN_NETWORK,2021-02-10,
P1005,Dr. Michael Wilson,Orthopedics,Wilson Orthopedic Group,Phoenix,AZ,85001,OUT_OF_NETWORK,2019-11-05,
P1006,Dr. Linda Moore,Family Medicine,Moore Family Practice,Philadelphia,PA,19101,IN_NETWORK,2020-07-22,
P1007,Dr. William Taylor,General Surgery,Taylor Surgical Center,San Antonio,TX,78201,IN_NETWORK,2018-09-13,
P1008,Dr. Elizabeth Anderson,Dermatology,Anderson Skin Clinic,San Diego,CA,92101,IN_NETWORK,2021-04-08,
P1009,Dr. David Thomas,Psychiatry,Thomas Mental Health,Dallas,TX,75201,OUT_OF_NETWORK,2019-12-01,
P1010,Dr. Barbara Jackson,OB/GYN,Jackson Women's Health,San Jose,CA,95101,IN_NETWORK,2020-10-15,
P1011,Dr. James White,Neurology,White Neurological Clinic,Austin,TX,78701,IN_NETWORK,2018-05-30,
P1012,Dr. Jennifer Harris,Radiology,Harris Imaging Center,Indianapolis,IN,46201,IN_NETWORK,2021-01-12,
P1013,Dr. Charles Martin,Oncology,Martin Cancer Center,Charlotte,NC,28201,IN_NETWORK,2019-08-25,
P1014,Dr. Carol Thompson,Family Medicine,Thompson Primary Care,Seattle,WA,98101,IN_NETWORK,2020-03-18,
P1015,Dr. Joseph Garcia,Orthopedics,Garcia Sports Medicine,Denver,CO,80201,OUT_OF_NETWORK,2019-06-07,
P1016,Dr. Maria Martinez,Pediatrics,Martinez Pediatric Group,Portland,OR,97201,IN_NETWORK,2021-05-22,
P1017,Dr. Thomas Robinson,Internal Medicine,Robinson Medical Clinic,Oklahoma City,OK,73101,IN_NETWORK,2020-09-14,
P1018,Dr. Nancy Clark,Family Medicine,Clark Family Health,Las Vegas,NV,89101,IN_NETWORK,2019-04-03,
P1019,Dr. Paul Rodriguez,Cardiology,Rodriguez Heart Center,Milwaukee,WI,53201,IN_NETWORK,2018-11-20,
P1020,Dr. Karen Lewis,Dermatology,Lewis Dermatology,Albuquerque,NM,87101,IN_NETWORK,2020-12-11
